LOC_ID;LOA_ID;LocationID;LocationName;CountryCode;CountryName;TimeZone;SupplyChainActorType;DangerousGoodsHandlingIndicator;Timestamp;RoundingProfileID
1;1;9999999999;LocationID not setup or unknown in LocationMaster_LOC;BE;NULL;UTC+1;DC;0;2021-03-08 08:51:08.893;NULL
2;2;9999999998;Non valid location for part alias;BE;NULL;UTC+1;DC;0;2021-03-08 08:51:08.893;NULL
3;3;1000000001;VOLVO PARTS CORPORATION GENT;BE;Belgium;UTC+1;CDC;1;2021-03-29 10:27:35.067;PR_Global
4;4;1000000002;CDC INCHEON;KR;NULL;UTC+8;DC;1;2021-03-08 08:51:08.893;PR_1000000002
5;5;1000000003;RDC SINGAPORE;SG;NULL;UTC+8;DC;1;2021-03-08 08:51:08.893;PR_Global
6;6;1000000004;RDC JOHANNESBURG;ZA;NULL;UTC+2;DC;1;2021-03-08 08:51:08.893;PR_Global
7;7;1000000005;SDC Eskilstuna;SE;NULL;UTC+1;DC;0;2021-03-08 08:51:08.893;PR_Global
8;8;1000000006;SDC Wroclaw;PL;NULL;UTC+1;DC;0;2021-03-08 08:51:08.893;PR_Global
9;9;1000000007;SDC Bucharest;RO;NULL;UTC+2;DC;0;2021-03-08 08:51:08.893;PR_Global
10;10;1000000008;SDC Madrid;ES;NULL;UTC+1;DC;0;2021-03-08 08:51:08.893;PR_Global
11;11;1000000009;SDC Rugby;GB;NULL;UTC+0;DC;0;2021-03-08 08:51:08.893;PR_Global
12;12;1000000010;SDC Helsinki;FI;NULL;UTC+2;DC;0;2021-03-08 08:51:08.893;PR_Global
13;13;1000000011;SDC Bologna;IT;NULL;UTC+1;DC;0;2021-03-08 08:51:08.893;PR_Global
14;14;1000000012;SDC Vienna;AT;NULL;UTC+1;DC;0;2021-03-08 08:51:08.893;PR_Global
15;15;1000000013;SDC Malsfeld;DE;NULL;UTC+1;DC;0;2021-03-08 08:51:08.893;PR_Global
16;16;1000000014;CDC LYON;FR;NULL;UTC+1;DC;1;2021-03-08 08:51:08.893;PR_Global
17;17;1000000015;RDC DUBAI;AE;NULL;UTC+4;DC;1;2021-03-08 08:51:08.893;PR_Global
18;18;1000000016;RDC CASABLANCA;MA;NULL;UTC+0;DC;1;2021-03-08 08:51:08.893;PR_Global
19;19;1000000017;RDC ALGER;DZ;NULL;UTC+1;DC;1;2021-03-08 08:51:08.893;PR_Global
20;20;1000000018;RDC ISTANBUL;TR;NULL;UTC+2;DC;1;2021-03-08 08:51:08.893;PR_Global
21;21;1000000019;RDC MOSCOW;RU;NULL;UTC+3;DC;1;2021-03-08 08:51:08.893;PR_Global
22;22;1000000020;RDC BANGALORE;IN;NULL;UTC+5.5;DC;1;2021-03-08 08:51:08.893;PR_Global
23;23;1000000021;SDC BANGKOK;TH;NULL;UTC+7;DC;1;2021-03-08 08:51:08.893;PR_Global
24;24;1000000022;RDC SHANGHAI;CN;NULL;UTC+8;DC;1;2021-03-08 08:51:08.893;PR_Global
25;25;1000000023;RDC BALIKPAPAN;ID;NULL;UTC+7;DC;1;2021-03-08 08:51:08.893;PR_Global
26;26;1000000024;RDC SYDNEY;AU;NULL;UTC+10;DC;1;2021-03-08 08:51:08.893;PR_Global
27;27;1000000025;CDC GUNMA;JP;NULL;UTC+9;DC;1;2021-03-08 08:51:08.893;PR_Global
28;28;1000000026;SDC HOKKAIDO;JP;NULL;UTC+10;DC;0;2021-03-08 08:51:08.893;PR_Global
29;29;1000000027;SDC SANYO;JP;NULL;UTC+11;DC;0;2021-03-08 08:51:08.893;PR_Global
30;30;1000000028;SDC KYUSHU;JP;NULL;UTC+12;DC;0;2021-03-08 08:51:08.893;PR_Global
31;31;1000000029;CDC COLUMBUS;US;NULL;UTC-5;DC;1;2021-03-08 08:51:08.893;PR_Global
32;32;1000000030;CDC BYHALIA;US;NULL;UTC-6;DC;1;2021-03-08 08:51:08.893;PR_Global
33;33;1000000031;RDC BALTIMORE;US;NULL;UTC-5;DC;1;2021-03-08 08:51:08.893;PR_Global
34;34;1000000032;RDC TORONTO;CA;NULL;UTC-5;DC;1;2021-03-08 08:51:08.893;PR_Global
35;35;1000000033;RDC JACKSONVILLE;US;NULL;UTC-5;DC;1;2021-03-08 08:51:08.893;PR_Global
36;36;1000000034;RDC CHICAGO;US;NULL;UTC-6;DC;1;2021-03-08 08:51:08.893;PR_Global
37;37;1000000035;RDC DALLAS;US;NULL;UTC-6;DC;1;2021-03-08 08:51:08.893;PR_Global
38;38;1000000036;RDC RENO;US;NULL;UTC-7;DC;1;2021-03-08 08:51:08.893;PR_Global
39;39;1000000037;RDC TOLUCA;MX;NULL;UTC-6;DC;1;2021-03-08 08:51:08.893;PR_Global
40;40;1000000038;CDC CURITIBA;BR;NULL;UTC-3;DC;1;2021-03-08 08:51:08.893;PR_Global
41;41;1000000039;RDC BUENOS AIRES;AR;NULL;UTC-3;DC;1;2021-03-08 08:51:08.893;PR_Global
42;42;1000000040;RDC SANTIAGO 1;CL;NULL;UTC-3;DC;1;2021-03-08 08:51:08.893;PR_Global
43;43;1000000041;RDC LIMA;PE;NULL;UTC-5;DC;1;2021-03-08 08:51:08.893;PR_Global
44;44;1000000042;RDC BOGOTA;CO;NULL;UTC-5;DC;1;2021-03-08 08:51:08.893;PR_Global
